AABBCcDDeeFFgghh,1205563052437927582307506011641846703062375749643719933952.00000000
AABBCcDDeeFfGGHH,477960546238703073718944485978412115190744088576.00000000
AABBCcDDeeFfGGHh,650615904713871043653256208845786282307488086753280.00000000
AABBCcDDeeFfGGhh,885640161720051107401911680385584861389685367880286208.00000000
AABBCcDDeeFfGgHH,650615904713871043653256208845786282307488086753280.00000000
AABBCcDDeeFfGgHh,885640161720051107401911680385584861389685367880286208.00000000
AABBCcDDeeFfGghh,1205563052437927582307506011641846703062375749643719933952.00000000
AABBCcDDeeFfggHH,885640161720051107401911680385584861389685367880286208.00000000
AABBCcDDeeFfggHh,1205563052437927582307506011641846703062375749643719933952.00000000
AABBCcDDeeFfgghh,1641052807023519319287183638868357361472405819098578085216256.00000000
AABBCcDDeeffGGHH,650615904713871043653256208845786282307488086753280.00000000
AABBCcDDeeffGGHh,885640161720051107401911680385584861389685367880286208.00000000
AABBCcDDeeffGGhh,1205563052437927582307506011641846703062375749643719933952.00000000
AABBCcDDeeffGgHH,885640161720051107401911680385584861389685367880286208.00000000
AABBCcDDeeffGgHh,1205563052437927582307506011641846703062375749643719933952.00000000
AABBCcDDeeffGghh,1641052807023519319287183638868357361472405819098578085216256.00000000
AABBCcDDeeffggHH,1205563052437927582307506011641846703062375749643719933952.00000000
AABBCcDDeeffggHh,1641052807023519319287183638868357361472405819098578085216256.00000000
AABBCcDDeeffgghh,2233856047590204838586399954592673878299996619269305870309130240.00000000
AABBCcDdEEFFGGHH,257944810584381314243585862765889644920832.00000000
AABBCcDdEEFFGGHh,351123115966963493036012047346048666087456768.00000000
AABBCcDdEEFFGGhh,477960546238703073718944485978412115190744088576.00000000
AABBCcDdEEFFGgHH,351123115966963493036012047346048666087456768.00000000
AABBCcDdEEFFGgHh,477960546238703073718944485978412115190744088576.00000000
AABBCcDdEEFFGghh,650615904713871043653256208845786282307488086753280.00000000
AABBCcDdEEFFggHH,477960546238703073718944485978412115190744088576.00000000
AABBCcDdEEFFggHh,650615904713871043653256208845786282307488086753280.00000000
AABBCcDdEEFFgghh,885640161720051107401911680385584861389685367880286208.00000000
AABBCcDdEEFfGGHH,351123115966963493036012047346048666087456768.00000000
AABBCcDdEEFfGGHh,477960546238703073718944485978412115190744088576.00000000
AABBCcDdEEFfGGhh,650615904713871043653256208845786282307488086753280.00000000
AABBCcDdEEFfGgHH,477960546238703073718944485978412115190744088576.00000000
AABBCcDdEEFfGgHh,650615904713871043653256208845786282307488086753280.00000000
AABBCcDdEEFfGghh,885640161720051107401911680385584861389685367880286208.00000000
AABBCcDdEEFfggHH,650615904713871043653256208845786282307488086753280.00000000
AABBCcDdEEFfggHh,885640161720051107401911680385584861389685367880286208.00000000
AABBCcDdEEFfgghh,1205563052437927582307506011641846703062375749643719933952.00000000
AABBCcDdEEffGGHH,477960546238703073718944485978412115190744088576.00000000
AABBCcDdEEffGGHh,650615904713871043653256208845786282307488086753280.00000000
AABBCcDdEEffGGhh,885640161720051107401911680385584861389685367880286208.00000000
AABBCcDdEEffGgHH,650615904713871043653256208845786282307488086753280.00000000
AABBCcDdEEffGgHh,885640161720051107401911680385584861389685367880286208.00000000
AABBCcDdEEffGghh,1205563052437927582307506011641846703062375749643719933952.00000000
AABBCcDdEEffggHH,885640161720051107401911680385584861389685367880286208.00000000
AABBCcDdEEffggHh,1205563052437927582307506011641846703062375749643719933952.00000000
AABBCcDdEEffgghh,1641052807023519319287183638868357361472405819098578085216256.00000000
AABBCcDdEeFFGGHH,351123115966963493036012047346048666087456768.00000000
AABBCcDdEeFFGGHh,477960546238703073718944485978412115190744088576.00000000
AABBCcDdEeFFGGhh,650615904713871043653256208845786282307488086753280.00000000
AABBCcDdEeFFGgHH,477960546238703073718944485978412115190744088576.00000000
AABBCcDdEeFFGgHh,650615904713871043653256208845786282307488086753280.00000000
AABBCcDdEeFFGghh,885640161720051107401911680385584861389685367880286208.00000000
AABBCcDdEeFFggHH,650615904713871043653256208845786282307488086753280.00000000
AABBCcDdEeFFggHh,885640161720051107401911680385584861389685367880286208.00000000
AABBCcDdEeFFgghh,1205563052437927582307506011641846703062375749643719933952.00000000
AABBCcDdEeFfGGHH,477960546238703073718944485978412115190744088576.00000000
AABBCcDdEeFfGGHh,650615904713871043653256208845786282307488086753280.00000000
AABBCcDdEeFfGGhh,885640161720051107401911680385584861389685367880286208.00000000
AABBCcDdEeFfGgHH,650615904713871043653256208845786282307488086753280.00000000
AABBCcDdEeFfGgHh,885640161720051107401911680385584861389685367880286208.00000000
AABBCcDdEeFfGghh,1205563052437927582307506011641846703062375749643719933952.00000000
AABBCcDdEeFfggHH,885640161720051107401911680385584861389685367880286208.00000000
AABBCcDdEeFfggHh,1205563052437927582307506011641846703062375749643719933952.00000000
AABBCcDdEeFfgghh,1641052807023519319287183638868357361472405819098578085216256.00000000
AABBCcDdEeffGGHH,650615904713871043653256208845786282307488086753280.00000000
AABBCcDdEeffGGHh,885640161720051107401911680385584861389685367880286208.00000000
AABBCcDdEeffGGhh,1205563052437927582307506011641846703062375749643719933952.00000000
AABBCcDdEeffGgHH,885640161720051107401911680385584861389685367880286208.00000000
AABBCcDdEeffGgHh,1205563052437927582307506011641846703062375749643719933952.00000000
AABBCcDdEeffGghh,1641052807023519319287183638868357361472405819098578085216256.00000000
